year,FP.CPI.TOTL.ZG
1960,
1961,
1962,1.78761787610517
1963,4.61612825298721
1964,-4.53565378123679
1965,1.21803662168856
1966,0.23908192532822
1967,1.40721895381677
1968,4.17875343012887
1969,5.01204093884017
1970,-1.98509387961995
1971,3.05622578045008
1972,8.69811990079435
1973,6.91860844589019
1974,9.23631035966853
1975,25.9249999994999
1976,17.0273310832519
1977,12.3897308301286
1978,8.85534591214091
1979,6.12895770734282
1980,6.82461565247797
1981,5.94422700614445
1982,10.8558454553089
1983,10.6363036761385
1984,22.0984594145327
1985,18.319884874273
1986,56.560172013504
1987,23.5291669556941
1988,11.6905868876763
1989,8.27501608751592
1990,12.1677841130696
1991,8.64234325973438
1992,9.48654250617163
1993,6.46380422753847
1994,1.71020632305637
1995,6.98097441830556
1996,1.09948870771018
1997,2.78122790023229
1998,1.11418841174713
1999,3.8123720536602
2000,0.8449695667737
2001,4.49259609239754
2002,8.60912474386327
2003,17.0328665431988
2004,14.2067432845569
2005,4.83862177543157
2006,2.0565034236599
2007,5.36913473801957
2008,4.4436549094501
2009,4.56150687670983
2010,5.04968075857402
2011,4.7958826618311
2012,4.25432199813899
2013,5.69912989637382
2014,5.94799935696626
2015,6.8084549457961
2016,7.22879272057922
2017,8.03418974545911
2018,6.52096823946573
2019,7.11567625631192
2020,5.93127636562441
2021,7.37034758876618
2022,11.5131198380505
2023,16.9742129632327
2024,11.5610532897511
2025,
