year,BX.TRF.PWKR.DT.GD.ZS,FP.CPI.TOTL.ZG
1978,0.200892836063351,8.85534591214091
1979,0.237781872552599,6.12895770734282
1980,0.162152347643988,6.82461565247797
1981,0.132271555406018,5.94422700614445
1982,0.0869301657409477,10.8558454553089
1983,0.328480093886367,10.6363036761385
2003,11.1017545288707,17.0328665431988
2004,6.31549101053971,14.2067432845569
2005,5.77055813367122,4.83862177543157
2006,6.04997266264832,2.0565034236599
2007,4.34964506018301,5.36913473801957
2008,4.14988668660995,4.4436549094501
2009,5.50298695848448,4.56150687670983
2010,7.49688597962595,5.04968075857402
2011,6.4807667406004,4.7958826618311
2012,7.51583724184049,4.25432199813899
2013,7.98404094128392,5.69912989637382
2014,11.2058152772073,5.94799935696626
2015,11.1787100908889,6.8084549457961
2016,9.81280254474036,7.22879272057922
2017,10.642988781079,8.03418974545911
2018,12.6915888581496,6.52096823946573
2019,15.2086255711844,7.11567625631192
2020,22.9790072609688,5.93127636562441
2021,27.1602920462379,7.37034758876618
2022,22.7621227874971,11.5131198380505
2023,21.6141314544414,16.9742129632327
2024,21.9990433005617,11.5610532897511
